No,InputGasRate,CO2
1,-0.109,53.8
2,0,53.6
3,0.178,53.5
4,0.339,53.5
5,0.373,53.4
6,0.441,53.1
7,0.461,52.7
8,0.348,52.4
9,0.127,52.2
10,-0.18,52
11,-0.588,52
12,-1.055,52.4
13,-1.421,53
14,-1.52,54
15,-1.302,54.9
16,-0.814,56
17,-0.475,56.8
18,-0.193,56.8
19,0.088,56.4
20,0.435,55.7
21,0.771,55
22,0.866,54.3
23,0.875,53.2
24,0.891,52.3
25,0.987,51.6
26,1.263,51.2
27,1.775,50.8
28,1.976,50.5
29,1.934,50
30,1.866,49.2
31,1.832,48.4
32,1.767,47.9
33,1.608,47.6
34,1.265,47.5
35,0.79,47.5
36,0.36,47.6
37,0.115,48.1
38,0.088,49
39,0.331,50
40,0.645,51.1
41,0.96,51.8
42,1.409,51.9
43,2.67,51.7
44,2.834,51.2
45,2.812,50
46,2.483,48.3
47,1.929,47
48,1.485,45.8
49,1.214,45.6
50,1.239,46
51,1.608,46.9
52,1.905,47.8
53,2.023,48.2
54,1.815,48.3
55,0.535,47.9
56,0.122,47.2
57,0.009,47.2
58,0.164,48.1
59,0.671,49.4
60,1.019,50.6
61,1.146,51.5
62,1.155,51.6
63,1.112,51.2
64,1.121,50.5
65,1.223,50.1
66,1.257,49.8
67,1.157,49.6
68,0.913,49.4
69,0.62,49.3
70,0.255,49.2
71,-0.28,49.3
72,-1.08,49.7
73,-1.551,50.3
74,-1.799,51.3
75,-1.825,52.8
76,-1.456,54.4
77,-0.944,56
78,-0.57,56.9
79,-0.431,57.5
80,-0.577,57.3
81,-0.96,56.6
82,-1.616,56
83,-1.875,55.4
84,-1.891,55.4
85,-1.746,56.4
86,-1.474,57.2
87,-1.201,58
88,-0.927,58.4
89,-0.524,58.4
90,0.04,58.1
91,0.788,57.7
92,0.943,57
93,0.93,56
94,1.006,54.7
95,1.137,53.2
96,1.198,52.1
97,1.054,51.6
98,0.595,51
99,-0.08,50.5
100,-0.314,50.4
101,-0.288,51
102,-0.153,51.8
103,-0.109,52.4
104,-0.187,53
105,-0.255,53.4
106,-0.229,53.6
107,-0.007,53.7
108,0.254,53.8
109,0.33,53.8
110,0.102,53.8
111,-0.423,53.3
112,-1.139,53
113,-2.275,52.9
114,-2.594,53.4
115,-2.716,54.6
116,-2.51,56.4
117,-1.79,58
118,-1.346,59.4
119,-1.081,60.2
120,-0.91,60
121,-0.876,59.4
122,-0.885,58.4
123,-0.8,57.6
124,-0.544,56.9
125,-0.416,56.4
126,-0.271,56
127,0,55.7
128,0.403,55.3
129,0.841,55
130,1.285,54.4
131,1.607,53.7
132,1.746,52.8
133,1.683,51.6
134,1.485,50.6
135,0.993,49.4
136,0.648,48.8
137,0.577,48.5
138,0.577,48.7
139,0.632,49.2
140,0.747,49.8
141,0.9,50.4
142,0.993,50.7
143,0.968,50.9
144,0.79,50.7
145,0.399,50.5
146,-0.161,50.4
147,-0.553,50.2
148,-0.603,50.4
149,-0.424,51.2
150,-0.194,52.3
151,-0.049,53.2
152,0.06,53.9
153,0.161,54.1
154,0.301,54
155,0.517,53.6
156,0.566,53.2
157,0.56,53
158,0.573,52.8
159,0.592,52.3
160,0.671,51.9
161,0.933,51.6
162,1.337,51.6
163,1.46,51.4
164,1.353,51.2
165,0.772,50.7
166,0.218,50
167,-0.237,49.4
168,-0.714,49.3
169,-1.099,49.7
170,-1.269,50.6
171,-1.175,51.8
172,-0.676,53
173,0.033,54
174,0.556,55.3
175,0.643,55.9
176,0.484,55.9
177,0.109,54.6
178,-0.31,53.5
179,-0.697,52.4
180,-1.047,52.1
181,-1.218,52.3
182,-1.183,53
183,-0.873,53.8
184,-0.336,54.6
185,0.063,55.4
186,0.084,55.9
187,0,55.9
188,0.001,55.2
189,0.209,54.4
190,0.556,53.7
191,0.782,53.6
192,0.858,53.6
193,0.918,53.2
194,0.862,52.5
195,0.416,52
196,-0.336,51.4
197,-0.959,51
198,-1.813,50.9
199,-2.378,52.4
200,-2.499,53.5
201,-2.473,55.6
202,-2.33,58
203,-2.053,59.5
204,-1.739,60
205,-1.261,60.4
206,-0.569,60.5
207,-0.137,60.2
208,-0.024,59.7
209,-0.05,59
210,-0.135,57.6
211,-0.276,56.4
212,-0.534,55.2
213,-0.871,54.5
214,-1.243,54.1
215,-1.439,54.1
216,-1.422,54.4
217,-1.175,55.5
218,-0.813,56.2
219,-0.634,57
220,-0.582,57.3
221,-0.625,57.4
222,-0.713,57
223,-0.848,56.4
224,-1.039,55.9
225,-1.346,55.5
226,-1.628,55.3
227,-1.619,55.2
228,-1.149,55.4
229,-0.488,56
230,-0.16,56.5
231,-0.007,57.1
232,-0.092,57.3
233,-0.62,56.8
234,-1.086,55.6
235,-1.525,55
236,-1.858,54.1
237,-2.029,54.3
238,-2.024,55.3
239,-1.961,56.4
240,-1.952,57.2
241,-1.794,57.8
242,-1.302,58.3
243,-1.03,58.6
244,-0.918,58.8
245,-0.798,58.8
246,-0.867,58.6
247,-1.047,58
248,-1.123,57.4
249,-0.876,57
250,-0.395,56.4
251,0.185,56.3
252,0.662,56.4
253,0.709,56.4
254,0.605,56
255,0.501,55.2
256,0.603,54
257,0.943,53
258,1.223,52
259,1.249,51.6
260,0.824,51.6
261,0.102,51.1
262,0.025,50.4
263,0.382,50
264,0.922,50
265,1.032,52
266,0.866,54
267,0.527,55.1
268,0.093,54.5
269,-0.458,52.8
270,-0.748,51.4
271,-0.947,50.8
272,-1.029,51.2
273,-0.928,52
274,-0.645,52.8
275,-0.424,53.8
276,-0.276,54.5
277,-0.158,54.9
278,-0.033,54.9
279,0.102,54.8
280,0.251,54.4
281,0.28,53.7
282,0,53.3
283,-0.493,52.8
284,-0.759,52.6
285,-0.824,52.6
286,-0.74,53
287,-0.528,54.3
288,-0.204,56
289,0.034,57
290,0.204,58
291,0.253,58.6
292,0.195,58.5
293,0.131,58.3
294,0.017,57.8
295,-0.182,57.3
296,-0.262,57
